"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Abstention","France 3","Nord","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Musulmane","Une ou deux fois par mois"
"François Hollande","TF1","Est","Plus de 100 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Juive","Au moins une fois par semaine"
"Nicolas Sarkozy","M6","Nord","Plus de 100 000 habitants","Femme","25 à 34 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","I-télé","Paris","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Une ou deux fois par mois"
"NA","M6","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Centre","20 000 à 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Ouest","2 000 à 20 000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Est","Plus de 100 000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BEPC","Catholique","Une ou deux fois par mois"
"François Bayrou","TF1","Centre","Plus de 100 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Eva Joly","Aucune","Est","20 000 à 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","TF1","Est","2 000 à 20 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"NA","France 2","Centre","2 000 à 20 000 habitants","Femme","65 ans et plus","retraités / autres inactifs","retraités / autres inactifs","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Ouest","20 000 à 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Autre religion","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Centre","Plus de 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Sans religion","NA"
"Abstention","Aucune","Paris","Agglomération parisienne","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud  Est","20 000 à 100 000 habitants","Femme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","M6","Centre","2 000 à 20 000 habitants","Femme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Nord","2 000 à 20 000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"NA","Aucune","Sud  Est","2 000 à 20 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","BFM TV","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","France 2","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","ouvriers","employés et personnels de services","Sans diplôme","Musulmane","Jamais"
"Abstention","France 3","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","artisans, commercants et chef d entreprises","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Nicolas Sarkozy","France 2","Centre","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Sud Ouest","2 000 à 20 000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","TF1","Sud  Est","20 000 à 100 000 habitants","Femme","35 à 49 ans","ouvriers","retraités / autres inactifs","CAP/BEP","Protestante","Jamais"
"François Bayrou","Aucune","Nord","Moins de 2000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Eva Joly","Aucune","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BEPC","Catholique","Jamais"
"Jean-Luc Mélenchon","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Musulmane","Une ou deux fois par mois"
"Abstention","Aucune","Est","20 000 à 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","France 2","Paris","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Sans religion","NA"
"Eva Joly","France 2","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","Aucune","Sud Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","employés et personnels de services","BAC général","Catholique","Jamais"
"Abstention","France 2","Nord","20 000 à 100 000 habitants","Femme","25 à 34 ans","ouvriers","employés et personnels de services","BAC général","Musulmane","Jamais"
"François Bayrou","France 2","Est","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Jean-Luc Mélenchon","France 2","Sud Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Sans diplôme","Catholique","Jamais"
"Marine Le Pen","France 2","Nord","20 000 à 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","Aucune","Sud Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Sans religion","NA"
"Abstention","BFM TV","Sud  Est","2 000 à 20 000 habitants","Homme","25 à 34 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Sans religion","NA"
"François Bayrou","Canal +","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Centre","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nathalie Arthaud","TF1","Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","retraités / autres inactifs","retraités / autres inactifs","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud  Est","20 000 à 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Est","Plus de 100 000 habitants","Femme","50 à 64 ans","retraités / autres inactifs","retraités / autres inactifs","BAC général","Juive","Au moins une fois par semaine"
"Marine Le Pen","France 2","Centre","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Aucune","Paris","Agglomération parisienne","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC technique","Musulmane","Une ou deux fois par mois"
"Jean-Luc Mélenchon","I-télé","Paris","Agglomération parisienne","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Musulmane","Jamais"
"Eva Joly","Aucune","Paris","Agglomération parisienne","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","France 2","Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Sud Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Musulmane","Uniquement pour les cérémonies, mariages"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","25 à 34 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","BFM TV","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Sans diplôme","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Nicolas Sarkozy","Aucune","Paris","Agglomération parisienne","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC technique","Sans religion","NA"
"Abstention","Autre","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Femme","35 à 49 ans","ouvriers","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Homme","50 à 64 ans","ouvriers","ouvriers","Certificat d'études primaires","Sans religion","NA"
"Nicolas Sarkozy","France 2","Sud  Est","Plus de 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BAC technique","Musulmane","Jamais"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","Aucune","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Paris","Agglomération parisienne","Homme","25 à 34 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Jean-Luc Mélenchon","BFM TV","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"Nicolas Sarkozy","BFM TV","Paris","Agglomération parisienne","Homme","18 à 24 ans","ouvriers","employés et personnels de services","Sans diplôme","Catholique","Au moins une fois par semaine"
"Abstention","Aucune","Paris","Agglomération parisienne","Femme","18 à 24 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Au moins une fois par semaine"
"Eva Joly","Aucune","Est","Moins de 2000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"NA","Aucune","Paris","Agglomération parisienne","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Musulmane","Au moins une fois par semaine"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Femme","18 à 24 ans","employés et personnels de services","retraités / autres inactifs","BAC+2 / niveau BAC+2","Protestante","Au moins une fois par semaine"
"François Bayrou","Aucune","Paris","Agglomération parisienne","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Paris","Agglomération parisienne","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","BAC général","Catholique","Une ou deux fois par mois"
"Abstention","Canal +","Centre","Moins de 2000 habitants","Homme","25 à 34 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC technique","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Homme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BAC technique","Catholique","Au moins une fois par semaine"
"Abstention","M6","Ouest","Moins de 2000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","TF1","Centre","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Nicolas Sarkozy","TF1","Sud  Est","Plus de 100 000 habitants","Femme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BAC général","Catholique","Une ou deux fois par mois"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Paris","Agglomération parisienne","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Nathalie Arthaud","France 2","Sud Ouest","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","France 2","Est","2 000 à 20 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Ouest","2 000 à 20 000 habitants","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","BAC général","Sans religion","NA"
"NA","France 2","Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Philippe Poutou","Canal +","Sud  Est","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","retraités / autres inactifs","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","BFM TV","Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Musulmane","Au moins une fois par semaine"
"François Hollande","Aucune","Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","Aucune","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","retraités / autres inactifs","ouvriers","CAP/BEP","Catholique","Une ou deux fois par mois"
"NA","TF1","Paris","Agglomération parisienne","Homme","18 à 24 ans","ouvriers","employés et personnels de services","Diplôme de l'enseignement supérieur","Musulmane","Uniquement pour les cérémonies, mariages"
"Abstention","France 3","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Nord","20 000 à 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","France 2","Paris","Agglomération parisienne","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Abstention","France 2","Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","BFM TV","Sud  Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"François Hollande","France 2","Sud  Est","Moins de 2000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BAC technique","Sans religion","NA"
"François Hollande","Aucune","Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","TF1","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Bayrou","BFM TV","Nord","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Aucune","Sud  Est","20 000 à 100 000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","65 ans et plus","ouvriers","ouvriers","Sans diplôme","Catholique","Jamais"
"Nicolas Sarkozy","TF1","Sud Ouest","Moins de 2000 habitants","Femme","65 ans et plus","agriculteurs exploitants","agriculteurs exploitants","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","Autre","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Aucune","Sud  Est","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Sans religion","NA"
"Jean-Luc Mélenchon","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Musulmane","De temps en temps, aux grandes fêtes"
"Philippe Poutou","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","employés et personnels de services","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"François Bayrou","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Dupont-Aignan","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Juive","De temps en temps, aux grandes fêtes"
"Abstention","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Musulmane","Une ou deux fois par mois"
"François Bayrou","TF1","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Sud  Est","20 000 à 100 000 habitants","Homme","18 à 24 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Sud  Est","20 000 à 100 000 habitants","Homme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC technique","Autre religion","Jamais"
"Marine Le Pen","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Sans diplôme","Protestante","Jamais"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Juive","Au moins une fois par semaine"
"François Bayrou","France 2","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","Canal +","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BEPC","Musulmane","Uniquement pour les cérémonies, mariages"
"NA","TF1","Paris","Agglomération parisienne","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Musulmane","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Musulmane","De temps en temps, aux grandes fêtes"
