geonameid,name,asciiname,alternatenames,latitude,longitude
1784642,Zhenjiang,Zhenjiang,"Chen-chiang,Chen-chiang-ch'eng,Chen-chiang-ch’eng,Chen-chiang-hsien,Chen-chiang-shih,Chenkiang,Chinkiang,Tan-t'a,Tan-t'u,Tan-t’a,Tan-t’u,Tantuhsien,Zhenjiang,zhen jiang,zhen jiang shi,??????? ??????,??,??,???",32.20917,119.43417
1784658,Zhengzhou,Zhengzhou,"CGO,Cheng,Cheng-chou,Cheng-chou-shih,Cheng-hsien,Chengchow,Chzhehnchzhou,Czengczou,Dzengdzou,Džengdžou,Trinh Chau,Tr?nh Châu,Zhengzhou,zheng zhou,zheng zhou shi,????????,????? ??????,??,???,??",34.75778,113.64861
1784820,Xinghua,Xinghua,"Hsin-hsing,Hsing-hua,Hsing-hua-ch'eng,Hsing-hua-ch’eng,Hsing-hua-hsien,Sinkhua,Xinghua,Xinxing,Zhaoyang,??????",32.93917,119.83417
1784841,Zhaotong,Zhaotong,"Chao-t'ung,Chao-t'ung-hsien,Chao-t’ung,Chao-t’ung-hsien,Chzhaotun,En-an,En-an-hsien,ZAT,Zhaotong,???????",27.31667,103.71667
1784853,Zhaoqing,Zhaoqing,"Chao-ch'ing,Chao-ch'ing-chen,Chao-chou,Chao-ch’ing,Chao-ch’ing-chen,Chao-king,Chzhaocin,Kao-yao,Kao-yao-hsien,Koyiu,Koyiu-hsien,Koynihsien,Shiuhing,Shiuhingfu,Zhaoqing,zhao qing,zhao qing shi,???????,??,???",23.05116,112.45972
1784953,Zhaoyuan,Zhaoyuan,"Chao-yuan,Chao-yuan-hsien,Chao-yüan,Chao-yüan-hsien,Zhaocheng,Zhaoyuan",37.35917,120.39639
1784990,Zhanjiang,Zhanjiang,"Chan-chiang,Chan-chiang-shih,Chankiang,Chzhan'czjan,Fort Bayard,Hsi-ying,Kwangchow,Kwangchowan,Kwangchowwan,Tram Giang,Tr?m Giang,Tsamkong,Zhanjiang,Zhanjiang Shi,zhan jiang,zhan jiang shi,?????????,??????? ??????,??,???",21.28145,110.34271
1785018,Zhangzhou,Zhangzhou,"Chang-chou,Chang-chou-shih,Changchow,Changchowfu,Chzhanchzhou,Lung-ch'i,Lung-ch'i-hsien-ch'eng,Lung-ch’i,Lung-ch’i-hsien-ch’eng,Lungki,Lunki,Zhangzhou,zhang zhou,zhang zhou shi,????????,?????? ??????,??,???",24.51333,117.65556
1785286,Zibo,Zibo,"Chang-chou-shih,Chang-tien,Chang-tien-shih,Czybo,Tzu-po,Zhangdian,Zibo,shi bo,zi bo,zi bo shi,?????,???? ??????,??,??,???",36.79056,118.06333
1785294,Anyang,Anyang,"AYN,An'jang,An-yang-hsien,Anyang,Chang-te,Changte-fu,Changteh,Changten,Zhangde,??????",36.09944,114.32889
1785453,Zaozhuang,Zaozhuang,"Czaochzhuan,I-hsien,Tsao-chuang,Tsao-chuang-shih,Tsaochwang,Tssaochwang,Zaozhuang,zao zhuang,zao zhuang shi,?????????,??,???",34.86472,117.55417
1785462,Zaoyang,Zaoyang,"Tsao-yang,Tsao-yang-hsien,Zaoyang",32.12722,112.75417
1785545,Yuyao,Yuyao,"Ju-kao,Jujao,Yu-yao-chen,Yu-yao-hsien,Yu-yao-hsien-ch'eng,Yuyao,Yuyao Shi,Yü-yao-chen,Yü-yao-hsien-ch’eng,yu yao,???,??",30.05,121.14944
1785623,Yushan,Yushan,"K'un-shan-ch'eng,K'un-shan-hsien,Kan-shan,Kun'shan',Kunshan,K’un-shan-ch’eng,K’un-shan-hsien,Yushan,yu shan,????????,??",31.37762,120.9543
1785725,Yunfu,Yunfu,"Jun'fu,Tung-an,Wanfow,Yun-ch'eng,Yun-ch'eng-chen,Yun-fou,Yun-fou-hsien,Yunfu,Yün-ch’eng,Yün-ch’eng-chen,Yün-fou,Yün-fou-hsien,yun fu,?????,??",22.93056,112.0373
1785738,Yuncheng,Yuncheng,"An-i,An-i-hsien,Anyihsien,Yun'chen,Yun-ch'eng-chen,Yuncheng,Yuncheng Shi,Yun’chen,Yün-ch’eng-chen,an yi,yun cheng,yun cheng shi,??,??,???",35.02306,110.99278
1785781,Yulin,Yulin,"Watlam,Watlam-hsien,Yo-ling,Yu-lin-chen,Yu-lin-hsien,Yulin,Yü-lin-chen,Yü-lin-hsien",22.63333,110.15
1785974,Yuci,Yuci,"Yu-tz'u,Yu-tz'u-hsien,Yu-tz'u-shih,Yuci,Yuci Qu,Yutzehsien,Yü-tz’u,Yü-tz’u-hsien,Yü-tz’u-shih,Yützehsien,yu ci,yu ci qu,??,???",37.68028,112.73194
1786067,Yuanlin,Yuanlin,"Ch'ien-chiang,Ch'ien-chiang-hsien,Chien-kou,Ch’ien-chiang,Ch’ien-chiang-hsien,Juan'lin',Qianjiang,Tsienkiang,Yuanlin,Yuanlin Jiedao,yuan lin,yuan lin jie dao,????????,??,????",30.41513,112.88595
1786546,Zhongxiang,Zhongxiang,"An-lu,Anlufu,Chung-hsiang,Chung-hsiang-hsien,Chungsiang,Yingzhong,Zhongxiang",31.16611,112.58306
1786640,Yingcheng,Yingcheng,"Ying-ch'eng-hsien,Ying-ch’eng-hsien,Yingcheng",30.95,113.55
1786657,Yinchuan,Yinchuan,"Ho-lan,INC,In'chuan',Ngan Xuyen,Ngân Xuyên,Ning-hsia,Ningsia,Ningsia-hsien,Ningsiafu,Thanh pho Ngan Xuyen,Thành ph? Ngân Xuyên,Yin-ch'uan-shih,Yin-ch’uan-shih,Yinchuan,Yinchuan Shi,yin chuan,yin chuan shi,????????,??,??,???",38.46806,106.27306
1786731,Qingzhou,Qingzhou,"Ch'ing-chou,Ch’ing-chou,Cinchzhou,I-tu,I-tu-hsien,Qingzhou,Tsingchow,Tsingchowfu,Yidu,Yitu,???????",36.69667,118.47972
1786746,Yichun,Yichun,"I-ch'un,I-ch'un-chen,I-ch'un-hsien,I-ch’un,I-ch’un-chen,I-ch’un-hsien,Ichun',Yichun,Yichun Shi,Yuan-chou,Yuanchow,Yuen-chow-fu,Yüan-chou,Yüanchow,yi chun,yi chun shi,?????,??,???",27.83333,114.4
1786764,Yichang,Yichang,"I-ch'ang-hsien,I-ch'ang-shih,I-chang,I-ch’ang-hsien,I-ch’ang-shih,Ichan,Tung-hu,YIH,Yichang,yi chang shi,????,????? ??????,???",30.71444,111.28472
1786770,Yibin,Yibin,"Hsu-chou,Hsü-chou,I-pin,I-pin-hsien,I-pin-shih,Ibin',Suchow,Suifu,Süchow,Xufu,Xuzhou Cheng,YBP,Yibin,Yibin Shi,xu fu,xu zhou cheng,yi bin,yi bin shi,?????,???,??,??,???",28.76667,104.62383
1787093,Yantai,Yantai,"Cheefoo,Chefoo,Chifu,Jan'taj,YNT,Yantai,Yen-t'ai,Yen-t'ai-shih,Yen-t’ai,Yen-t’ai-shih,??????",37.53333,121.4
1787227,Yangzhou,Yangzhou,"Chiang-tu,Chiang-tu-hsien,Han-chiang,Janchzhou,Kiangtu,Yang-chou,Yang-chou-shih,Yang-chow-fu,Yangchow,Yangzhou,yang zhou,yang zhou shi,??????,????? ??????,??,???,??,??",32.39722,119.43583
1787323,Yangshuo,Yangshuo,"Jansho,Yang-shuo-chen,Yang-shuo-hsien,Yangso,Yangso-hsien,yang shuo,????,??",24.78081,110.48967
1787351,Yangquan,Yangquan,"Yang-ch'uan,Yang-ch'uan-chan,Yang-ch'uan-shih,Yang-ch’üan,Yang-ch’üan-chan,Yang-ch’üan-shih,Yangquan,Yangquan Shi,yang quan,yang quan shi,??,???",37.8575,113.56333
1787746,Yancheng,Yancheng,"Jan'chehn,YNZ,Yancheng,Yen-ch'eng,Yen-ch'eng-chen,Yen-ch'eng-hsien,Yen-ch’eng,Yen-ch’eng-chen,Yen-ch’eng-hsien,yan cheng,yan cheng shi,??????,?????? ??????,??,???",33.38556,120.12528
1787824,Tongshan,Tongshan,"Hsu-chou,Hsu-chou-shih,Hsü-chou,Hsü-chou-shih,Sjujchzhou,Suchow,Suchow-fu,Süchow-fu,T'ung-shan,Tongshan,T’ung-shan,Xuzhou,swijeou,xu zhou,xu zhou shi,???????,???? ??????,??,???,???",34.18045,117.15707
1787858,Shangrao,Shangrao,"Kuanghsin,Kwangsin,Shang-jao,Shang-jao-hsien,Shang-jao-shih,Shangrao,Shangrao Shi,Xuri,shang rao,shang rao shi,??,???",28.45322,117.9686
1788046,Xuchang,Xuchang,"Hsu-ch'ang,Hsu-ch'ang-hsien,Hsu-ch'ang-shih,Hsu-chou,Hsuchow,Hsü-chou,Hsü-ch’ang,Hsü-ch’ang-hsien,Hsü-ch’ang-shih,Hsüchow,Syuychan,Xuchang",34.01667,113.81667
1788081,Xuanzhou,Xuanzhou,"Hsuan-ch'eng,Hsuan-ch'eng-hsien,Hsüan-ch’eng,Hsüan-ch’eng-hsien,Ning-kuo,Ningkwo,Ningkwofu,Suancheng,Suancheng-hsien,Süancheng,Süancheng-hsien,Xuancheng,Xuanzhou",30.9525,118.75528
1788268,Xiulin,Xiulin,"Shih-shou,Shih-shou-hsien,Shih-show-hsien,Shishou,Xiulin",29.71667,112.4
1788450,Xinzhou,Xinzhou,"Hsin,Hsin-hsien,Hsin-hsien-ch'eng,Hsin-hsien-ch’eng,Hsin-ting,Sinchow,Sinhsien,Xinfu Qu,Xinxian,Xinzhou,Xinzhou Shi,xin fu qu,xin zhou,xin zhou shi,??,???,???",38.40917,112.73333
1788534,Xinyang,Xinyang,"Czinan',Hsin-yang,Hsin-yang-hsien,Hsin-yang-shih,Sinyang,Sinyang-hsien,Xinyang,???????",32.12278,114.06556
1788572,Xinxiang,Xinxiang,"Hsin-hsiang,Hsin-hsiang-hsien,Hsin-hsiang-shih,Hsinghsiang,Sin'sjan,Singsieng,Sinsiang-hsien,Xinxiang,???????",35.30889,113.86722
1788618,Xintai,Xintai,"Hsin-t'ai,Hsin-t'ai-hsien,Hsin-t’ai,Hsin-t’ai-hsien,Hsing-t'ai,Hsing-t’ai,Sintai,Sintaihsien,Sintoihsien,Xintai",35.90056,117.75194
1788694,Xinpu,Xinpu,"Hsien-p'u,Hsien-p’u,Hsin-hai-lien,Hsin-hai-lien-shih,Hsin-p'u,Hsin-p'u-chen,Hsin-p’u,Hsin-p’u-chen,Lianyungang,Lien-yun-chiang,Lien-yun-chiang-shih,Lien-yun-kang,Lien-yün-chiang,Lien-yün-chiang-shih,Lien-yün-kang,Sinpuchen,Tsin-pu,Xinpu,lian yun gang,lian yun gang shi,lyen-wingang,xin pu,?????????? ??????,??,???,????,???,????,???",34.59972,119.15944
1788816,Xinji,Xinji,"Hsin-chi,Hsin-chi-chen,Shu-lu-hsien,Shulu,Sin'tszi,Sin’tszi,Xinji",37.90278,115.20361
1788852,Xining,Xining,"Hsi-ning,Hsi-ning-shih,Sining,Sining-hsien,Siningfu,Tay Ninh,Tây Ninh,XNN,Xining,Xining Shi,sinin,sining,xi ning,xi ning shi,?????,????? ??????,??,???,???,??",36.61667,101.76667
1788927,Xingtai,Xingtai,"Chin-t'ai,Chin-t’ai,Hsing-t'ai,Hsing-t'ai-hsien,Hsing-tai-shih,Hsing-t’ai,Hsing-t’ai-hsien,Setay,Shun'de,Shun-te,Shunteh,Shuntehfu,Shun’de,Singtai,Xingtai,Yingtaihsien",37.06306,114.49417
1789065,Ankang,Ankang,"AKA,An-k'ang-hsien,An-k’ang-hsien,Ankan,Ankang,Hingan,Hinganfu,Hsing-an,Xing'an,Xing’an,an kang,an kang shi,?????,??,???",32.68,109.01722
1789137,Xindi,Xindi,"Honghu,Hsin-ti,Hsin-ti-chen,Hung-hu,Shin-ti,Sinti,Xindi",29.81667,113.46667
1789273,Sanshui,Sanshui,"Hsi-man,Hsi-nan-chen,Hsin-nan,Sainam,Sainan,Sanshui,Xinan,san shui,??",23.15486,112.89161
1789647,Xichang,Xichang,"Hsi-ch'ang,Hsi-ch'ang-hsien,Hsi-ch’ang,Hsi-ch’ang-hsien,Ning-yuan,Ning-yüan,Ningyuanfu,Sichan,Sichang,Sichanghsien,XIC,Xichang,sichang,xi chang,xi chang shi,?????,??,???,??,??",27.89642,102.26342
1789703,Xiazhen,Xiazhen,"Hsia-chen,Weishan,Xiazhen,Xiazhencun",34.80222,117.11167
1790254,Xiaogan,Xiaogan,"Hsiao-kan,Hsiao-kan-hsien,Siaokan,Siaokanhsien,Xiaogan,xiao gan shi,??????? ??????,???",30.91667,113.9
1790353,Xianyang,Xianyang,"Hsien-yang,Hsien-yang-hsien,Hsien-yang-shih,San'jan,Sienyanghsien,Syanyan,Xianyang,Xianyang Shi,xian yang,xian yang shi,??????,??,???",34.33778,108.70261
1790371,Xiantao,Xiantao,"Hsien-t'ao-chen,Hsien-t’ao-chen,Mianyang,Mien-yang,Mien-yang Hsien,Sientaochen,Xiantao,Xiantaozhen",30.38333,113.4
1790396,Xianning,Xianning,"Hsien-ning,Sjan'nin,Xianning,???????",29.88333,114.21667
1790437,Zhuhai,Zhuhai,"Chau Hai,Chu Hai,Chu H?i,Chu-hai,Chzhukhaj,Châu H?i,Heung chau,Hsiang-chou,Hsiang-chou-chen,Hsiang-chou-fou,Huengchow,Xiangzhou,Zhuhai,zhu hai,zhu hai shi,??????,????? ??????,??,???",22.27694,113.56778
1790492,Xiangtan,Xiangtan,"Hsiang-t'an-ch'eng,Hsiang-t'an-hsien,Hsiang-t'an-shih,Hsiang-tan,Hsiang-t’an-ch’eng,Hsiang-t’an-hsien,Hsiang-t’an-shih,Siangtan,Siangtanhsien,Sjantan',Xiangtan,???????",27.85,112.9
1790587,Xiangyang,Xiangyang,"Fan-ch'eng,Fan-ch'eng-chen,Fan-ch’eng,Fan-ch’eng-chen,Hsiang-fan,Hsiang-fan-shih,Hsiang-yang,Hsiang-yang-hsien,Siangfan,Siangyang,Siangyang-hsien,Siangyangfu,Sjanfan',XFN,Xiangfan,Xiangyang,Xiangyang Shi,fan cheng,fan cheng zhen,xiang fan,xiang fan shi,xiang yang,xiang yang fu,xiang yang shi,???????,??????? ??????,??,???,??,???,??,???,???",32.0422,112.14479
1790630,Xi’an,Xi'an,"Ch'ang-an,Ch'ang-an-hsien,Ch’ang-an,Ch’ang-an-hsien,Hsi Gnan Fu,Hsi-an,Hsi-an-shih,Hsi-ching,Hsi-ching-shih,Hsingan,SIA,Si-Gan-Fu,Sian,Sian',Siana,Sianas,Sianfu,Sia?a,Siking,Singan,Sjiano,Tay An,Tây An,Xi'an,Xi'an - xi an,Xi'an - ??,Xi'an Shi,Xian,Xi’an,Xi’an Shi,X?'?n,si xan,sian,xi an,xi an shi,?jiano,?????,????? ??????,?????,??,???,??",34.25833,108.92861
1790645,Xiamen,Xiamen,"Amoy,Ha Mon,Hsia-men,Hsia-men-shih,H? Môn,Shamen,Sia-men,Siamen,Sjamehn',Sjamyn',Ssu-ming,Ssu-ming-hsien,Szeming-hsien,XMN,Xiamen,Xiamen - sha men,Xiamen - ??,Xiamen Shi,amoi,sha men,sha men shi,??????,??????,?????? ??????,???,??,???",24.47979,118.08187
1790840,Wuzhou,Wuzhou,"Ts'ang-wu,Ts'ang-wu-hsien,Ts’ang-wu,Ts’ang-wu-hsien,WUZ,Wu-chou,Wu-chou-shih,Wuchow,Wuzhou,wu zhou,??",23.48333,111.31667
1790894,Wuxue,Wuxue,"Guangji,Kuang-chi,Kuang-chi-hsien,Wu-hsueh,Wu-hsueh-chen,Wu-hsüeh,Wu-hsüeh-chen,Wusueh,Wuxue,Wuxue Jiedao,wu xue,wu xue jie dao,??,????",29.85058,115.5525
1790923,Wuxi,Wuxi,"Usi,WUX,Wu-hsi,Wu-hsi-hsien,Wu-hsi-shih,Wusih,Wusih-hsien,Wusihsien,Wuxi,wu xi,wu xi shi,???,???? ??????,??,???,??",31.56887,120.28857
1791056,Dongyang,Dongyang,"Dongyang,Dongyang Shi,Tung-yang,Tung-yang-hsien,Tung-yang-hsien-ch'eng,Tung-yang-hsien-ch’eng,Wuning,dong yang,dong yang shi,??,???",29.26778,120.22528
1791121,Changde,Changde,"CGD,Ch'ang-te,Ch'ang-te-ch'eng,Ch'ang-te-hsien,Ch'ang-te-shih,Chandeh,Changde,Changde Shi,Changteh,Changteh-hsien,Ch’ang-te,Ch’ang-te-ch’eng,Ch’ang-te-hsien,Ch’ang-te-shih,Wuling,chang de,chang de shi,?????,??,???",29.04638,111.6783
1791236,Wuhu,Wuhu,"Ukhu,WHU,Wu-hu-hsien,Wu-hu-shih,Wuhu,Wuhu Shi,wu hu,wu hu shi,???,??,???",31.33657,118.37548
1791247,Wuhan,Wuhan,"Uhana,Uha?a,Ukhan',Vu Han,Vuhano,V? Hán,Wu-han-shih,Wuhan,Wuhan Shi,uhan,wu han,wu han shi,?????,????? ??????,??,???,??,??",30.58333,114.26667
1791249,Wuhai,Wuhai,"Hai-p'o-wan-shih,Hai-po-wan,Hai-p’o-wan-shih,Haibowan,Wu-hai-shih,Wuhai,hai bo wan,wu hai,wu hai shi,??,???,???",39.66472,106.81222
1791325,Wuda,Wuda,"Bayinsai,Ud,Wu-ta,Wu-ta-shih,Wuda,Wuda Qu,ba yin sai,wu da,wu da qu,??,???,???",39.49944,106.71167
1791388,Wenzhou,Wenzhou,"Vehn'chzhou,Wen-chou,Wen-chou-shih,Wenchow,Wenchow-fu,Wenzhou,Yung-chia,Yung-chia-hsien,Yungkai,Yungkia,Yungkia-hsien,????????",27.99942,120.66682
1791536,Wendeng,Wendeng,"Chiu-wen-teng,K'un-yu,K’un-yü,Wen-teng,Wen-teng-ch'eng,Wen-teng-ch’eng,Wen-teng-hsien,Wencheng,Wendeng",37.19361,122.05111
1791636,Weinan,Weinan,"Veynan,Wei-nan-hsien,Weinan,Weinan Shi,wei nan,??",34.50355,109.50891
1791673,Weihai,Weihai,"Vehjkhaj,Wei-hai-shih,Wei-hai-wei,Wei-hai-wei-shih,Weihai,wei hai,wei hai shi,weihai,??????,?????? ??????,??,???,????",37.50167,122.11361
1791681,Weifang,Weifang,"Vehjfan,WEF,Wei,Wei-fang-shih,Wei-hsien,Weifang,wei fang,wei fang shi,??????,??,???",36.71,119.10194
1791748,Wanxian,Wanxian,"WXN,Wan,Wan-hsien,Wan-hsien-shih,Wanxian",30.80389,108.38972
1792260,Wafangdian,Wafangdian,"Fu,Fu-hsien,Fuxian,Wa-fan-tien,Wa-fang-tien,Wa-fang-tien-chen,Wafangdian",39.61833,122.00806
1792520,Tongzhou,Tongzhou,"T'ung,T'ung-chen,T'ung-chou,T'ung-chou-ch'u,T'ung-chou-shih,T'ung-hsien,T'ung-hsien-chen,Tingchow,Tongxian,Tongzhou,Tunchzhou,Tunsyan',Tunsyan’,T’ung,T’ung-chen,T’ung-chou,T’ung-chou-ch’ü,T’ung-chou-shih,T’ung-hsien,T’ung-hsien-chen,???????",39.90528,116.59944
1792621,Wusong,Wusong,"T'ung-ling,T'ung-ling-hsien,Tongling,T’ung-ling,T’ung-ling-hsien,Wusong,Yuan-hsien-ch'eng,Yüan-hsien-ch’eng,tong ling,tong ling shi,wu song,??,??,???",30.95,117.78333
1792947,Tianjin,Tianjin,"T'ien-chin,T'ien-ching,T'ien-ching-shih,TSN,Tchien-tin,Tchien-?in,Thien Tan,Thiên Tân,Tiandzinas,Tianjin,Tianjin Shi,Tianjing,Tiencin,Tiencsin,Tientsin,Tiençin,Tjan'czin',Tjandzin,Tjangino,Tjan?ino,T’ien-chin,T’ien-ching,T’ien-ching-shih,theiyn cin,tian jin,tian jin shi,tyanjyn,tyenjin,tyyng'yn,???????,?????????,?????'??,???????,??????? ??????,????????,??,???,??",39.14222,117.17667
1793036,Tengzhou,Tengzhou,"T'eng,T'eng-hsien,Tehnchzhou,Teng Xian,Tengzhou,Tengzhou Shi,T’eng,T’eng-hsien,teng xian,teng zhou,teng zhou shi,???????,??,??,???",35.07706,117.15176
1793346,Tangshan,Tangshan,"T'ang-shan-chen,T'ang-shan-shih,Tangshan,Tanshan',Tongshan,T’ang-shan-chen,T’ang-shan-shih,tang shan,tang shan shi,???????,?????? ??????,??,???",39.63333,118.18333
1793424,Tanggu,Tanggu,"T'ang-ku,Tanggu,Tango,Tung-ku,T’ang-ku,?????",39.02111,117.64694
1793505,Taizhou,Taizhou,"T'ai,T'ai-chou,T'ai-chou-shih,T'ai-hsien,T'ai-hsien-ch'eng,Taichow,Taizhou,Taizhou Shi,Tajchzhou,T’ai,T’ai-chou,T’ai-chou-shih,T’ai-hsien,T’ai-hsien-ch’eng,tai zhou,tai zhou shi,???????,??,???",32.49333,119.91063
1793511,Taiyuan,Taiyuan,"T'ai-yuan-shih,TYN,Taiyuan,Taiyuan Shi,Taiyuan-fu,Taiyüan-fu,Tajjuan',T’ai-yüan-shih,Yang-ch'u,Yang-ch’ü,Yangku,Yangkü,Yanka,tai yuan,tai yuan shi,???????,??,???",37.86944,112.56028
1793700,Taicheng,Taicheng,"Hsin-ning,Sunning,Sunninghsien,Sünninghsien,T'ai-ch'eng-chen,T'ai-shan-hsien,Taicheng,Taicheng Jiedao,Taishan,Taishan Shi,Tajshan',Toishan,Toyshan,T’ai-ch’eng-chen,T’ai-shan-hsien,tai cheng,tai cheng jie dao,tai shan shi,???????,??,????,???",22.25135,112.7799
1793724,Tai’an,Tai'an,"T'ai-an-hsien,T'ai-an-shih,Tai'an,Taianfu,Tai’an,Tajan',T’ai-an-hsien,T’ai-an-shih,??????",36.18528,117.12
1793743,Suzhou,Suzhou,"Su-hsien,Suchow,Suchzhou,Suxian,Suzhou,su zhou shi,??????,????? ??????,???",33.63611,116.97889
1793879,Suizhou,Suizhou,"Sui,Sui-hsien,Suichow,Suixian",31.71111,113.36306
1793900,Suining,Suining,"Sui-ning-hsien,Suining,Sujnin,Suynin,sui ning,??????,??",30.50802,105.57332
1794035,Songjiang,Songjiang,"Songjiang,Songjiang Qu,Sunchiang,Sung-chiang,Sung-chiang-hsien,Sungkiang,Sungkiang-hsien,Sunkiang,Sunkiangfu,song jiang,song jiang qu,??,???",31.03595,121.2146
1794806,Shizuishan,Shizuishan,"Shih-tsui,Shih-tsui-shan,Shih-tsui-shan-shih,Shih-tsui-tzu,Shitszuyshan',Shitszuyshan’,Shizuishan",39.23333,106.76944
1794903,Shiyan,Shiyan,"Shih-yen,Shih-yen-chen,Shih-yen-shih,Shijan',Shiyan,Shiyan Shi,shi yan,shi yan shi,?????,??,???",32.6475,110.77806
1794904,Shiyan,Shiyan,"Shih-yen,Shijan,Shiyan,????",32.56667,110.78333
1795055,Shiqiao,Shiqiao,"P'an-yu-hsien,Panyu,P’an-yu-hsien,Shekkiu,Shih-ch'iao,Shih-ch'iao-chen,Shih-ch’iao,Shih-ch’iao-chen,Shikiu,Shiqiao,fan yu,shi qiao,??,??",22.93736,113.36063
1795060,Shiqi,Shiqi,"Chung-shan,Chung-shan-ku-chih,Heungschan,Heungshan,Hsiang-shan,Shekki,Shih-ch'i,Shih-ch'i-chen,Shih-ch’i,Shih-ch’i-chen,Shiqi,Shiqi Jiedao,Shiqizhen,Zhongshan,shi qi,shi qi jie dao,??,????",22.51682,113.38521
1795184,Shilong,Shilong,"Shehlung,Sheklung,Shih-lung,Shilong,Shilong Zhen,shi long,??",23.11227,113.84248
1795196,Tongchuan,Tongchuan,"Shih-li-p'u,Shih-li-p’u,Shilipu,T'ung-ch'uan,T'ung-ch'uan-shih,Tongchuan,T’ung-ch’uan,T’ung-ch’uan-shih",35.08056,109.08972
1795270,Shijiazhuang,Shijiazhuang,"Chen-t'ou,Chen-t’ou,Chentow,Shiczjachzhuan,Shidzjadzhuan,Shih-chia-chuang,Shih-chia-chuang-shih,Shih-chuang-shih,Shih-men,Shih-men-shih,Shihjiazhuang,Shihkiachwan,Shihkiachwang,Shijiazhuang,Shijiazhuang Shi,Shitszyachzhuan,Thach Gia Trang,Th?ch Gia Trang,shi jia zhuang,shi jia zhuang shi,??????????,??????????,????????? ??????,???,????,????",38.04139,114.47861
1795565,Shenzhen,Shenzhen,"Bao'an,Pao-an,Pao-an-hsien,SZX,Sham Chun Hu,Shehn'chzhehn',Shen-ch'uan,Shen-ch'uan-chen,Shen-ch'uan-hsu,Shen-ch'üan,Shen-ch'üan-chen,Shen-ch'üan-hsü,Shen-chen,Shen-chun,Shenzhen,Shiem Chun,Shumchun,Shumchün,Tham Quyen,Thâm Quy?n,Tschhimtschun,shen zhen,shen zhen shi,shensen shi,shyntshyn,?????????,???????,?????? ??????,????,??,???",22.54554,114.0683
1795816,Shashi,Shashi,"SHS,Sha-shih,Sha-shih-shih,Shashi,Shasi,????",30.30722,112.24472
1795842,Shaping,Shaping,"Gaohe,Hao-shan,Kao-hao,Kao-ho,Sha-p'ing,Sha-p'ing-chen,Sha-p'ing-hsu,Sha-p’ing,Sha-p’ing-chen,Sha-p’ing-hsü,Shaping,sha ping,??",22.75452,112.95652
1795855,Shaoxing,Shaoxing,"Shao-hsing,Shao-hsing-hsien,Shao-hsing-hsien-ch'eng,Shao-hsing-hsien-ch’eng,Shao-hsing-shih,Shaohing,Shaohing-hsien,Shaohingfu,Shaosin,Shaoxing,saosing,shao xing,shao xing shi,soheung,??????,?????? ??????,???,??,???,???,??",30.01102,120.57153
1795857,Shaowu,Shaowu,"Shao-wu-hsien,Shaowu,shao wu,??",27.34089,117.4831
1795874,Shaoguan,Shaoguan,"Ch'u-chiang,Ch'u-chiang-hsien,Chao-kuan,Ch’ü-chiang,Ch’ü-chiang-hsien,HSC,Kakong,Kiukianghsien,Kukiang,Kukong,Kukong-hsien,Kükiang,Kükong,Kükong-hsien,Shao-chou,Shao-kuan,Shaoguan,Shaoguan',Shaokwan,Shiuchow,Shiukuan,shao guan,shao guan shi,????????,??,???",24.8,113.58333
1795928,Shanwei,Shanwei,"Shan'vehj,Shanwei,Swabue,shan wei,shan wei shi,???????,??,???",22.78199,115.3475
1795940,Shantou,Shantou,"Shan'tou,Shan-t'ou-shih,Shan-t’ou-shih,Shantou,Shantow,Swatow,Sán ??u,cang hwad saw thea,shan tou,shan tou shi,???????,?????????????,??,???,??,???",23.36814,116.71479
1796236,Shanghai,Shanghai,"SHA,San'nkae,Sanchajus,Sangaj,Sangay,Sanghaj,Sanghay,Sanhaja,Sanhajo,Sanxay,Schanghai,Shang-hai,Shang-hai-shih,Shangai,Shangaj,Shanghai,Shanghai - shang hai,Shanghai - ??,Shankhaj,Sjanghae,Sjanghai,Sjanghæ,Szanghaj,Thuong Hai,Th??ng H?i,Xangai,cankay,sanghai,seiynghi,shang hai,shang hai shi,shanghay,shanghhay,shanhai,zhong guo shang hai,?anhajo,?angay,?anghay,?anxay,Šanchajus,Šangaj,Šanghaj,Šanhaja,???????,??????,??????,???????,???????,???????,??????,?????? ??????,????????,?????????,??????,??,???,????,???",31.22222,121.45806
1796421,Shahecheng,Shahecheng,"Sha-ho,Sha-ho-ch'eng-kuan,Sha-ho-ch’eng-kuan,Sha-ho-hsien,Shahe,Shahecheng,Shahhsien,Shakhe",36.93833,114.50583
1796556,Sanya,Sanya,"SYX,Sama,Samah,San'ja,San-ah,San-ya-chen,San-ya-chiang,San-ya-chiang-shih,Sanya,Ya Xian,Ya-hsien,Yai-hsien,Yehsien,san ya,?????,??",18.24306,109.505
1796663,Sanming,Sanming,"San'min,San-ming-hsien,San-ming-shih,San-yuan,San-yuan-hsien,San-yüan,San-yüan-hsien,Sanming,san ming,san ming shi,???????,?????? ??????,??,???",26.24861,117.61861
1797121,Jieyang,Jieyang,"Chieh-yang,Chieh-yang-hsien,Chieh-yung,Chien Yang,Jieyang,Kiehyang,Kityang,Kityang-hsien,Rongcheng,jie yang,jie yang shi,??,???",23.52886,116.36416
1797132,Rizhao,Rizhao,"Jichaohsien,Jih-chao,Jih-chao-hsien,Rijao,Rizhao,ri zhao,ri zhao shi,??,???",35.4275,119.45528
